INSTNM,STABBR,LATITUDE,LONGITUDE,LOCALE,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4,COUNT_WNE_3YR,COUNT_NWNE_3YR,EMPLOYMENT RATE,Rank_Tuition,Rank_Grad_Rate,Rank_Employment_Rate,Tuition_Avg
Bryan University,AZ,33.437779,-111.944197,12.0,11025.0,11025.0,0.1988,213.0,23.0,0.902542372881356,0.18727552591072344,0.9365910413030832,0.8528009535160905,11025.0
California Institute of Integral Studies,CA,37.774924,-122.416102,11.0,,,,44.0,7.0,0.8627450980392157,,,0.9284862932061978,
California Baptist University,CA,33.929321,-117.425619,11.0,33478.0,33478.0,0.5491,880.0,55.0,0.9411764705882353,0.7675731144176501,0.4607329842931937,0.6078665077473182,33478.0
California College of the Arts,CA,37.767485,-122.399451,11.0,49138.0,49138.0,0.6009,268.0,30.0,0.8993288590604027,0.9358645459209851,0.36183827806864455,0.8629320619785459,49138.0
California Institute of Technology,CA,34.137349,-118.125878,12.0,52362.0,52362.0,0.9202,100.0,11.0,0.9009009009009009,0.956900974858902,0.02326934264107039,0.8587604290822408,52362.0
California Lutheran University,CA,34.224565999999996,-118.878924,12.0,42692.0,42692.0,0.7616,653.0,24.0,0.9645494830132939,0.8830169317598768,0.1401977894124491,0.2562574493444577,42692.0
California Polytechnic State University-San Luis Obispo,CA,35.299513,-120.657311,23.0,9816.0,21696.0,0.8174,2875.0,86.0,0.9709557581898007,0.39148281169830684,0.09424083769633508,0.16090584028605484,15756.0
Alliant International University-San Diego,CA,32.897056,-117.094398,11.0,14600.0,14600.0,0.25,83.0,13.0,0.8645833333333334,0.3530015392508979,0.8923792902850495,0.9266984505363528,14600.0
California State University-Bakersfield,CA,35.350004999999996,-119.10471100000001,11.0,7309.0,19189.0,0.4212,1063.0,65.0,0.9423758865248227,0.28681375064135456,0.6783013379872018,0.5917759237187128,13249.0
California State University-Stanislaus,CA,37.52577,-120.852511,23.0,7072.0,18952.0,0.5804,1593.0,85.0,0.9493444576877235,0.27603899435608004,0.4060500290866783,0.5017878426698451,13012.0
California State University-San Bernardino,CA,34.182621999999995,-117.323801,12.0,6922.0,18802.0,0.568,3340.0,214.0,0.939786156443444,0.26577732170343765,0.43106457242582896,0.6239570917759237,12862.0
California State Polytechnic University-Pomona,CA,34.057912,-117.821476,21.0,7353.0,19233.0,0.7111,3707.0,197.0,0.9495389344262295,0.2898922524371473,0.19895287958115182,0.4970202622169249,13293.0
California State University-Chico,CA,39.729712,-121.84485900000001,13.0,7608.0,19488.0,0.6627,3249.0,194.0,0.9436537902991577,0.30938943047716777,0.26236183827806864,0.5756853396901073,13548.0
California State University-Dominguez Hills,CA,33.864765999999996,-118.255917,13.0,6942.0,18822.0,0.4501,2313.0,158.0,0.9360582760016187,0.2668034889687019,0.6305991855730075,0.6644815256257449,12882.0
California State University-Fresno,CA,36.811153999999995,-119.744569,11.0,6587.0,18467.0,0.5399,3766.0,231.0,0.9422066549912435,0.24935864545920985,0.477021524141943,0.5929678188319428,12527.0
California State University-Fullerton,CA,33.881506,-117.885446,21.0,6886.0,18766.0,0.6775,6942.0,455.0,0.9384885764499121,0.2642380708055413,0.24200116346713205,0.6388557806912991,12826.0
California State University-East Bay,CA,37.657694,-122.054135,21.0,6983.0,18863.0,0.4816,2116.0,155.0,0.931748128577719,0.26834273986659823,0.571262361838278,0.701430274135876,12923.0
California State University-Long Beach,CA,33.782818,-118.11204,11.0,6798.0,18678.0,0.6937,7184.0,443.0,0.9419168742624885,0.258594150846588,0.22164048865619546,0.5959475566150179,12738.0
California State University-Los Angeles,CA,34.066927,-118.16896499999999,11.0,6749.0,18629.0,0.485,3477.0,233.0,0.9371967654986523,0.25705489994869163,0.564281559045957,0.6513706793802145,12689.0
California State University-Northridge,CA,34.240126000000004,-118.529319,11.0,6893.0,18773.0,0.5394,6688.0,451.0,0.9368258859784283,0.26475115443817343,0.4781849912739965,0.6561382598331347,12833.0
California State University-Sacramento,CA,38.559415,-121.423549,11.0,7310.0,19190.0,0.5114,6127.0,356.0,0.9450871510103347,0.28732683427398664,0.5223967422920303,0.5607866507747318,13250.0
University of California-Berkeley,CA,37.871918,-122.26046299999999,12.0,14184.0,43176.0,0.914,3534.0,320.0,0.916969382459782,0.6813750641354541,0.028504944735311226,0.7979737783075089,28680.0
University of California-Davis,CA,38.539667,-121.749567,23.0,14402.0,43394.0,0.8645,5673.0,446.0,0.9271122732472626,0.6849666495638789,0.055264688772542175,0.7365911799761621,28898.0
University of California-Irvine,CA,33.648434,-117.841248,11.0,13700.0,42692.0,0.8337,3221.0,300.0,0.9147969326895768,0.6695741405849154,0.07969749854566609,0.8045292014302742,28196.0
University of California-Los Angeles,CA,34.068892,-118.443901,11.0,13226.0,42218.0,0.9051,5177.0,513.0,0.909841827768014,0.6613648024628014,0.031995346131471786,0.8283671036948749,27722.0
University of California-Riverside,CA,33.97246,-117.32741000000001,11.0,13827.0,42819.0,0.7453,4305.0,356.0,0.9236215404419652,0.672139558748076,0.15590459569517162,0.7550655542312277,28323.0
University of California-San Diego,CA,32.877749,-117.23586599999999,11.0,14167.0,43159.0,0.8590000000000001,4485.0,405.0,0.9171779141104295,0.680861980502822,0.06050029086678301,0.7955899880810489,28663.0
University of California-Santa Barbara,CA,34.416297,-119.846426,22.0,14391.0,43383.0,0.8185,3529.0,238.0,0.9368197504645607,0.6844535659312468,0.0924956369982548,0.6567342073897497,28887.0
University of California-Santa Cruz,CA,36.995584,-122.058801,13.0,13960.0,42952.0,0.7447,3378.0,258.0,0.929042904290429,0.6747049769112365,0.15648632926119838,0.7210965435041716,28456.0
Sofia University,CA,37.430325,-122.10866000000001,13.0,,,,,,,,,,
California Christian College,CA,36.749365999999995,-119.711123,11.0,9570.0,9570.0,0.0,,,,0.1400718317085685,1.0,,9570.0
California Institute of the Arts,CA,34.39327,-118.566837,21.0,49276.0,49276.0,0.5642,232.0,25.0,0.9027237354085603,0.9363776295536173,0.4363001745200698,0.8516090584028605,49276.0
California State University Maritime Academy,CA,38.069061,-122.231551,12.0,7056.0,18936.0,0.6173,233.0,5.0,0.9789915966386554,0.2750128270908158,0.33624200116346714,0.06376638855780692,12996.0
Chapman University,CA,33.79302,-117.85251799999999,12.0,52724.0,52724.0,0.7877,1119.0,68.0,0.9427127211457456,0.961518727552591,0.11518324607329843,0.5822407628128725,52724.0
Charles R Drew University of Medicine and Science,CA,33.925658,-118.242791,21.0,13972.0,13972.0,1.0,79.0,7.0,0.9186046511627907,0.33093894304771676,0.0005817335660267597,0.7890345649582837,13972.0
Concordia University-Irvine,CA,33.653665000000004,-117.81230500000001,11.0,35400.0,35400.0,0.6333,521.0,20.0,0.9630314232902033,0.797331965110313,0.31297265852239675,0.28486293206197855,35400.0
San Diego Christian College,CA,32.842403999999995,-116.97811200000001,21.0,31404.0,31404.0,0.4444,158.0,17.0,0.9028571428571428,0.728065674704977,0.6404886561954625,0.8510131108462455,31404.0
Claremont McKenna College,CA,34.102154,-117.71118799999999,21.0,54405.0,54405.0,0.9313,119.0,6.0,0.952,0.9753719856336582,0.017452006980802792,0.4600715137067938,54405.0
Cogswell College,CA,37.414049,-121.94086999999999,11.0,20056.0,20056.0,0.3529,57.0,4.0,0.9344262295081968,0.5289892252437147,0.7707969749854566,0.6787842669845053,20056.0
Columbia College Hollywood,CA,34.17972,-118.538793,11.0,24495.0,24495.0,0.5,274.0,19.0,0.9351535836177475,0.6090302719343252,0.5386852821407795,0.6740166865315852,24495.0
Cypress College,CA,33.82833,-118.025143,21.0,1142.0,6158.0,0.3038,293.0,33.0,0.8987730061349694,0.0061570035915854285,0.8365328679464805,0.866507747318236,3650.0
Dell'Arte International School of Physical Theatre,CA,40.880924,-123.988808,41.0,13350.0,13350.0,,13.0,1.0,0.9285714285714286,0.2934838378655721,,0.7252681764004768,13350.0
Design Institute of San Diego,CA,32.880926,-117.167374,11.0,23860.0,23860.0,0.25,31.0,7.0,0.8157894736842105,0.5962031811185223,0.8923792902850495,0.9493444576877235,23860.0
Dominican University of California,CA,37.981279,-122.512051,13.0,45850.0,45850.0,0.7170000000000001,450.0,22.0,0.9533898305084746,0.9148281169830682,0.18964514252472367,0.4368295589988081,45850.0
Empire College,CA,38.468052,-122.72933700000002,12.0,,,0.5325,270.0,23.0,0.9215017064846417,,0.4851657940663176,0.768772348033373,
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,CA,34.044209,-118.25993000000001,11.0,32293.0,32293.0,0.6617,1934.0,128.0,0.9379243452958292,0.7470497691123653,0.2646887725421757,0.6454112038140644,32293.0
FIDM-Fashion Institute of Design & Merchandising-San Francisco,CA,37.786353000000005,-122.406651,11.0,32293.0,32293.0,0.6463,1934.0,128.0,0.9379243452958292,0.7470497691123653,0.28679464805119254,0.6454112038140644,32293.0
Feather River Community College District,CA,39.953101000000004,-120.97306699999999,41.0,1461.0,8511.0,0.1843,67.0,12.0,0.8481012658227848,0.029758850692662903,0.9476439790575916,0.9386174016686532,4986.0
Foothill College,CA,37.361655,-122.12796399999999,21.0,1563.0,7503.0,0.6269,97.0,8.0,0.9238095238095239,0.023088763468445357,0.3240255962769052,0.7538736591179976,4533.0
Fresno Pacific University,CA,36.726831,-119.735199,11.0,32458.0,32458.0,0.6638,474.0,31.0,0.9386138613861386,0.750128270908158,0.2606166375799884,0.6370679380214541,32458.0
Golden Gate University-San Francisco,CA,37.789374,-122.398969,11.0,,,,125.0,9.0,0.9328358208955224,,,0.6895113230035756,
Harvey Mudd College,CA,34.106515,-117.70983700000001,21.0,56620.0,56620.0,0.9192,132.0,8.0,0.9428571428571428,0.9969214982042073,0.02443280977312391,0.5798569725864124,56620.0
Holy Names University,CA,37.802276,-122.187804,11.0,39316.0,39316.0,0.4809,195.0,7.0,0.9653465346534653,0.8465879938429964,0.5724258289703316,0.24433849821215733,39316.0
Humboldt State University,CA,40.877481,-124.07829299999999,33.0,7675.0,19555.0,0.5179,1557.0,126.0,0.9251336898395722,0.3150333504361211,0.5113438045375218,0.7461263408820024,13615.0
Humphreys University-Stockton and Modesto Campuses,CA,38.011489000000005,-121.31691799999999,11.0,14292.0,14292.0,0.375,118.0,11.0,0.9147286821705426,0.3437660338635197,0.7388016288539849,0.8057210965435042,14292.0
Interior Designers Institute,CA,33.641393,-117.86572199999999,13.0,18250.0,18250.0,,62.0,15.0,0.8051948051948052,0.4864032837352488,,0.9523241954707986,18250.0
John F. Kennedy University,CA,37.956616,-122.05476100000001,21.0,8500.0,8500.0,,43.0,8.0,0.8431372549019608,0.11749615187275526,,0.9421930870083433,8500.0
American Jewish University,CA,34.128153000000005,-118.47170600000001,11.0,31946.0,31946.0,0.6,22.0,6.0,0.7857142857142857,0.7393535146228836,0.36300174520069806,0.9570917759237187,31946.0
Life Pacific University,CA,34.098704999999995,-117.829388,21.0,15654.0,15654.0,0.4118,118.0,10.0,0.921875,0.38943047716777834,0.6893542757417103,0.765792610250298,15654.0
University of La Verne,CA,34.100854999999996,-117.77326200000002,21.0,43050.0,43050.0,0.6912,1053.0,51.0,0.9538043478260869,0.887634684453566,0.22454915648632925,0.43146603098927294,43050.0
Laguna College of Art and Design,CA,33.561448,-117.77256399999999,41.0,30700.0,30700.0,0.6053,98.0,14.0,0.875,0.7162647511544382,0.3525305410122164,0.9159713945172825,30700.0
Lincoln University,CA,37.804788,-122.269745,11.0,11110.0,11110.0,0.7353,12.0,1.0,0.9230769230769231,0.193945613134941,0.16753926701570682,0.7586412395709178,11110.0
Southern California Seminary,CA,32.799614,-116.90546100000002,21.0,17540.0,17540.0,0.3333,7.0,2.0,0.7777777777777778,0.4551051821446896,0.7998836532867947,0.9582836710369488,17540.0
La Sierra University,CA,33.910703999999996,-117.500054,11.0,32778.0,32778.0,0.4527,171.0,18.0,0.9047619047619048,0.7562852744997435,0.6236183827806865,0.8438617401668653,32778.0
Loma Linda University,CA,34.051241,-117.260605,21.0,,,,585.0,17.0,0.9717607973421927,,,0.1466030989272944,
Southern California University of Health Sciences,CA,33.922965999999995,-117.983401,21.0,7000.0,7000.0,,30.0,4.0,0.8823529411764706,0.08414571575166752,,0.9034564958283671,7000.0
The Master's University and Seminary,CA,34.381755,-118.518193,21.0,25390.0,25390.0,0.5962,324.0,18.0,0.9473684210526315,0.6239096972806567,0.3717277486910995,0.5274135876042908,25390.0
Loyola Marymount University,CA,33.97085,-118.41574399999999,11.0,48522.0,48522.0,0.8358,1372.0,77.0,0.9468599033816425,0.9322729604925603,0.07795229784758581,0.532777115613826,48522.0
Marymount California University,CA,33.734887,-118.333371,21.0,36134.0,36134.0,0.3254,133.0,12.0,0.9172413793103448,0.806054386865059,0.8080279232111692,0.7949940405244339,36134.0
